@index@position@year@title@artist@lyric@decade
10@10@11@1974@Until You Come Back To Me (That's What I'm Gonna Do)@Aretha Franklin@I sit and wait in vain I guess I'll rap on your door (your door) Tap on your window pane (tap on your window pane) I want to tell you, baby Changes I've been going through Missing you, listen, you (Till you come back to me) That's what I'm gonna do Why did you have to decide You had to set me free I'm gonna swallow my pride (my pride) Gonna beg you to please, baby, please see me (baby, won't you see me) I'm gonna walk by myself Just to prove that my love is true Oh, for you baby (Till you come back to me) That's what I'm gonna do Living for you, my dear Is like living in a world of constant fear Hear my plea (hear my plea) I've got to make you see (gotta make you see) That our love is dying (our love is dying) Although your phone you ignore Somehow I must, somehow I must, how I must explain I'm gonna rap on your door (your door) Tap on your window pane (tap on your window pane) I'm gonna camp by your steps Until I get through to you I've got to change your view, baby (Till you come back to me) That's what I'm gonna do (Till you come back to me) That's what I'm gonna do Ooh, till you come back to me, that's what I'm gonna do I'm gonna rap on your door (rap on it) Tap on your win- (tap on it) dow pane Open up, baby I'm gonna rap on your door (rap on it) Tap on your, tap on your (tap on it) Tap on your, tap on your window pane (tap on your window pane) I'm gonna rap on your door (rap on it) Gonna tap on your win- (tap on it) dow pane@1970
11@11@12@1974@Jungle Boogie@Kool and The Gang@Get down, get down Get down, get down Get down, get down Get down, get down Get down, get down Get down, get down Get down, get down Jungle boogie (Get down with the boogie) Jungle boogie (Get it up) Jungle boogie (Get down with the boogie) Jungle boogie (Get it up) Jungle boogie (Get up with the boogie) Jungle boogie (Get up wit da get down) Jungle boogie (Get down with the boogie) Jungle boogie (Shake it around) Jungle boogie (Get up, wit da get down) Jungle boogie (Boogie, boogie) Jungle boogie (Boogie, boogie) Jungle boogie (Brrr) Jungle boogie (Get up wit da get down) Jungle boogie (Get the boogie) Jungle boogie (Yeah in the jungle) Jungle boogie (Get down with the boogie) Get down, get down Get down, get down (With the boogie) Get down, get down Get down, get down (Jungle boogie) Get down, get down Get down, get down (With the boogie) Get down, get down (Jungle boogie) Get down, get down (With the boogie) Get down, get down (Jungle boogie) Get down, get down (With the boogie) Get down, get down (It's the boogie) Get down, get down Uh, get it Feel the funk, y'all Let let it flow Huh, uh uh Huh, uh uh uh Huh, uh mm' Get down with the boogie Get it, get the jungle boogie Get down Huh, uh, get down with the boogie Said uh, uh Get down Said uh, uh Get down Said uh, uh Get down Said uh, uh Huh, till ya feel it y'all Huh, get down y'all Huh, uh get down Huh, uh y'all get down Uh, oh, with the get down Uh, ugh Uh, ha, get down Whoa@1970
12@12@13@1974@Midnight At The Oasis@Maria Muldaur@ Send your camel to bed Shadows painting our faces Traces of romance in our heads Heaven's holding a half moon Shining just for us Let's slip off to A sand dune, real soon And kick up a little dust Come on, cactus is our friend He'll point out the way Come on, till the evening ends Till the evening ends You don't have to answer There's no need to speak I'll be your belly dancer, prancer And you can be my sheik I know your Daddy's a sultan A nomad known to all With fifty girls to attend him They all send him Jump at his beck and call But you won't need no harem, honey When I'm by your side And you won't need no camel, no no When I take you for a ride Come on, cactus is our friend He'll point out the way Come on, till the evening ends Till the evening ends Midnight at the oasis Send your camel to bed Got shadows painting our faces And traces of romance in our heads Oh come on, oh come on Woo hoo hoo, yeah, oh yeah@1970
13@13@14@1974@You Make Me Feel Brand New@Stylistics@no lyrics@1970
14@14@15@1974@Show And Tell@Al Wilson@Till you came into my life (do-do-do-do-do) And these are the arms that long to lock you inside Every day and every night (do-do-do-do-do) Girl, and here is the soul of which you've taken control Can't you see I'm trying to show love is right? Whoa, show and tell, just a game I play When I want to say I love you Girl, so show me and tell me That you feel the same way too Say you do, baby These are the hands that can't help reaching for you If you're anywhere in sight (anywhere in sight) And these are the lips that can't help calling your name In the middle of the night (middle of the night) Whoa, and here is the man who needs to know where you stand Don't you know I've done all I can, so decide Whoa, show and tell is just a game I play When I want to say I love you (I love you) Girl, so show me and tell me That you feel the same way too Say you do, say you do, baby, baby, baby Ah, and here is the soul of which you've taken control Can't you see I'm trying to show love is right? Ooh girl, show and tell, just a game I play When I want to say, oh, I love you (I love you) Girl, so show me and tell me That you feel the same way too Say you do, say you do, baby Oh, show and tell, just a game I play When I want to say, oh, I love you (I love you) Girl, so show me and tell me That you feel the same way too@1970
15@15@16@1974@Spiders And Snakes@Jim Stafford@"Said, ""you want to walk me home from school?"" Well, I said, ""yes, I do"" She said, ""I don't have to go right home And I'm the kind that likes to be alone some if you would"" I said, ""me, too"" And so we took a stroll Wound up down by the swimming hole And she said, ""do what you want to do"" I got silly and I found a frog In the water by a hollow log And I shook it at her and I said, ""this frog's for you"" She said I don't like spiders and snakes And that ain't what it takes to love me You fool, you fool I don't like spiders and snakes And that ain't what it takes to love me Like I want to be loved by you Well, I think of that girl from time to time I call her up when I got a dime I say, ""hello, baby"" She says, ""ain't you cool"" I say, ""do you remember when? And would you like to get together again?"" She says, ""I'll see you after school"" I was shy and so for a while Most of my love was touch and smile Till she said, ""come on over here"" I was nervous, as you might guess Still looking for something to slip down her dress And she said, ""let's make it perfectly clear"" She said I don't like spiders and snakes And that ain't what it takes to love me You fool, you fool I don't like spiders and snakes And that ain't what it takes to love me Like I want to be loved by you"@1970
16@16@17@1974@Rock On@David Essex@Ooh, my soul Hey kid, boogie, too, did ya? Hey, shout, summertime blues Jump up and down in my blue suede shoes Hey, kid, rock 'n' roll, rock on And where do we go from here? Which is a way that's clear? Still looking for that blue jean baby queen Prettiest girl I've ever seen See her shake on the movie screen, Jimmy Dean (James Dean) And where do we go from here? Which is the way that's clear? Still looking for that blue jean baby queen Prettiest girl I ever seen See her shake on the movie screen, Jimmy Dean Jimmy Dean Rock on Rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on@1970
17@17@18@1974@Sunshine On My Shoulder@John Denver@Sunshine in my eyes can make me cry Sunshine on the water looks so lovely Sunshine almost always makes me high If I had a day that I could give you I'd give to you a day just like today If I had a song that I could sing for you I'd sing a song to make you feel this way Sunshine on my shoulders makes me happy Sunshine in my eyes can make me cry Sunshine on the water looks so lovely Sunshine almost always makes me high If I had a tale that I could tell you I'd tell a tale sure to make you smile If I had a wish that I could wish for you I'd make a wish for sunshine for all the while Sunshine on my shoulders makes me happy Sunshine in my eyes can make me cry Sunshine on the water looks so lovely Sunshine almost all the time makes me high Sunshine almost always@1970
18@18@19@1974@Sideshow@Blue Magic@See the sideshow in town for only fifty cents Step right up, hurry, hurry, before the show begins, my friends Stand in line, get your tickets, I hope you will attend It'll only cost you fifty cents to see What life has done to those like you and me See the man with the broken heart, you'll see that he is sad He hurts so bad (so bad, so bad) See the girl who has lost the only love she ever had There's got to be no sadder show to see No doubt about it, satisfaction's guaranteed So let the sideshow begin Hurry, hurry, step right on in Can't afford to pass it by Guaranteed to make you cry Let the sideshow begin (hurry, hurry) Hurry, hurry, step right on in Can't afford to pass it by Guaranteed to make you cry See the man who's been cryin' for a million years So many tears (so many tears) See the girl who's collected broken hearts for souvenirs It's more exciting than a one man band The saddest little show in all the land So let the sideshow begin (hurry, hurry) Hurry, hurry, step right on in Can't afford to pass it by Guaranteed to make you cry Let the sideshow begin Hurry, hurry, step right on in Can't afford to pass it by Guaranteed to make you cry So let the sideshow begin (Hurry, hurry) Hurry, hurry, step right on in Can't afford to pass it by Guaranteed to make you cry Let the sideshow begin (step right on in) Hurry, hurry, step right on in Can't afford to pass it by Guaranteed to make you cry (hurry, hurry)@1970
19@19@20@1974@Hooked On A Feeling@Blue Swede@Deep inside of me Girl, you just don't realize What you do to me When you hold me In your arms so tight You let me know Everything's all right I'm hooked on a feeling I'm high on believing That you're in love with me Lips are sweet as candy Its taste is on my mind Girl, you got me thirsty For another cup of wine Got a bug from you, girl But I don't need no cure I just stay a victim If I can for sure All the good love When we're all alone Keep it up, girl Yeah, you turn me on I'm hooked on a feeling I'm high on believing That you're in love with me All the good love When we're all alone Keep it up, girl Yeah, you turn me on I'm hooked on a feeling I'm high on believing That you're in love with me I'm hooked on a feeling And I'm high on believing That you're in love with me I said, I'm hooked on a feeling And I'm high on believing That you're in love with me Hooked on a feeling@1970
20@20@21@1974@Billy Don't Be A Hero@Bo Donaldson and The Heywoods@"The soldier blues fell in behind I looked across and there I saw Billy Waiting to go and join the line And with her head upon his shoulder His young and lovely fiancée From where I stood I saw she was cryin' And through her tears I heard her say Billy, don't be a hero Don't be a fool with your life Billy, don't be a hero Come back and make me your wife And as he started to go She said, Billy keep your head low Billy, don't be hero Come back to me The soldier blues were trapped on a hillside The battle raging all around The sergeant cried, ""We've got to hang on boys! We've got to hold this piece of ground I need a volunteer to ride up And bring us back some extra men."" And Billy's hand was up in a moment Forgettin' all the words she said She said Billy, don't be a hero Don't be a fool with your life Billy, don't be a hero Come back and make me your wife And as he started to go She said Billy, keep your head low Billy, don't be a hero Come back to me I heard his fiancée got a letter That told how Billy died that day The letter said that hehero She should be proud he died that way I heard she threw the letter away"@1970
21@21@22@1974@Band On The Run@Paul McCartney and Wings@no lyrics@1970
22@22@23@1974@The Most Beautiful Girl@Charlie Rich@And if you did was she cryin', cryin'? Hey, if you happen to see the most beautiful girl that walked out on me Tell her I'm sorry Tell her I need my baby Oh, won't you tell her that I love her? I woke up this morning Realized what I had done I stood alone in the cold gray dawn I knew I'd lost my morning sun I lost my head and I said some things Now comes the heartaches that morning brings I know I'm wrong and I couldn't see I let my world slip away from me So, hey, did you happen to see the most beautiful girl in the world? And if you did was she cryin', cryin'? Hey, if you happen to see the most beautiful girl that walked out on me Tell her I'm sorry Tell her I need my baby Oh, won't you tell her that I love her? If you happen to see the most beautiful girl that walked out on me Tell her I'm sorry Tell her I need my baby Oh, won't you tell her that I love her?@1970
23@23@24@1974@Time In A Bottle@Jim Croce@The first thing that I'd like to do Is to save every day till eternity passes away Just to spend them with you If I could make days last forever If words could make wishes come true I'd save every day like a treasure and then Again, I would spend them with you But there never seems to be enough time To do the things you want to do, once you find them I've looked around enough to know That you're the one I want to go through time with If I had a box just for wishes And dreams that had never come true The box would be empty except for the memory of how They were answered by you But there never seems to be enough time To do the things you want to do, once you find them I've looked around enough to know That you're the one I want to go through time with@1970
24@24@25@1974@Annie's Song@John Denver@Like a night in the forest Like the mountains in springtime Like a walk in the rain Like a storm in the desert Like a sleepy blue ocean You fill up my senses Come fill me again Come let me love you Let me give my life to you Let me drown in your laughter Let me die in your arms Let me lay down beside you Let me always be with you Come let me love you Come love me again Let me give my life to you Come let me love you Come love me again You fill up my senses Like a night in the forest Like the mountains in springtime Like a walk in the rain Like a storm in the desert Like a sleepy blue ocean You fill up my senses Come fill me again@1970
25@25@26@1974@Let Me Be There@Olivia Newton-John@Wherever you may wander in your life Surely you know I always wanna be there Holding you hand And standing by to catch you when you fall Seeing you through In everything you do Let me be there in your morning Let me be there in your night Let me change whatever's wrong and make it right Let me take you through that wonderland That only two can share All I ask you is let me be there Oh, let me be there Watching you grow And going through the changes in your life That's how I know I always wanna be there Whenever you feel you need a friend to lean on, here I am Whenever you call, you know I'll be there Let me be there in your morning Let me be there in your night Let me change whatever's wrong and make it right Let me take you through that wonderland That only two can share All I ask you is let me be there@1970
26@26@27@1974@Sundown@Gordon Lightfoot@In a room where you do what you don't confess Sundown, you better take care If I find you been creeping 'round my back stairs Sundown, you better take care If I find you been creeping 'round my back stairs She's been looking like a queen in a sailor's dream And she don't always say what she really means Sometimes I think it's a shame When I get feeling better when I'm feeling no pain Sometimes I think it's a shame When I get feeling better when I'm feeling no pain I can picture every move that a man could make Getting lost in her loving is your first mistake Sundown, you better take care If I find you been creeping 'round my back stairs Sometimes I think it's a sin When I feel like I'm winning when I'm losing again I can see her looking fast in her faded jeans She's a hard loving woman, got me feeling mean Sometimes I think it's a shame When I get feeling better when I'm feeling no pain Sundown, you better take care If I find you been creeping 'round my back stairs Sundown, you better take care If I find you been creeping 'round my back stairs Sometimes I think it's a sin When I feel like I'm winning when I'm losing again@1970
27@27@28@1974@(You're) Having My Baby@Paul Anka@What a lovely way of saying how much you love me Having my baby What a lovely way of saying what you're thinking of me I can see it Your face is glowing I can see it in your eyes I'm happy in knowing That you're having my baby You're the woman I love and I love what it's doing to you You're having my baby You're a woman in love and I love what's going through you The need inside you I see it showing Oh, the seed inside you, baby Do you feel it growing? Are you happy in knowing That you're having my baby? I'm a woman in love and I love what it's doing to me Having my baby I'm a woman in love and I love what's going through me Didn't have to keep it Wouldn't put you through it You could have swept it from your life But you wouldn't do it No, you wouldn't do it And you're having my baby I'm a woman in love and I love what it's doing to me Having my baby I'm a woman in love and I love what's going through me Having my baby What a lovely way of saying how much you love me Having my baby I'm a woman in love and I love what's going through me@1970
28@28@29@1974@Rock Me Gently@Andy Kim@That you are with me here tonight Music playing, our bodies swaying in time (In time, in time, in time) Touching you, so warm and tender Lord, I feel such a sweet surrender Beautiful is the dream that makes you mine Mm, rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before Baby, baby, rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before Oh my darling, oh my baby You got the moves that drive me crazy And on your face I see a trace of love (Of love, of love, of love) Come hold me close, don't let me go I need you, honey, I love you so You were made for me by the stars above Mm, rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before And baby, baby, rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before Rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before Ain't it good, ain't it right That you are with me here tonight Rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before Baby, baby, rock me gently, rock me slowly Take it easy, don't you know That I have never been loved like this before@1970
29@29@30@1974@Boogie Down@Eddie Kendricks@Ooh uh, boogie Baby, let's boogie down I'm bad enough to make another bad lie I'm gonna hook you on a natural high And I know, I can satisfy, hey I wanna love ya, kiss and hug you, baby, tonight Ooh hoo, tonight Boo hoo hoo, boogie down Hey, hey, boogie, boogie down, baby Ooh uh, boogie Baby, let's boogie down Let's get it on, girl, don't hesitate Let my love flood your water gate Sweet lover, don't make me wait, hey I wanna love ya, kiss and hug ya, baby, tonight Make ya feel all right Boo hoo hoo ooh ooh, boogie down Boogie down, boogie down, baby Boogie down, boogie down, baby Boogie, boogie down, baby Boogie, boogie down, baby Boogie hmm, have mercy Boogie down, baby Boogie down, boogie down, baby Boogie ah, ha Boogie down, baby Boogie down, boogie down, baby Go downtown Gonna mess around Uh huh huh huh Boogie down, uh huh Go downtown Gonna mess around Ah ha ha ha Boogie down Like a hound, gonna sniff around Ah ha ha ha, boogie down I found a girl, love you up and down Ah ha ha ha, boogie down Boogie, boogie down, baby Boogie down, boogie down, baby Boogie, hey hey y'all boogie down, baby Boogie down, boogie down, baby Ooh, have mercy Boogie ooh, huh, huh, huh, huh Boogie down, baby Boogie down@1970
30@30@31@1974@You're Sixteen@Ringo Starr@Lips like strawberry wine You're sixteen, you're beautiful and you're mine You're all ribbons and curls, ooh, what a girl Eyes that sparkle and shine You're sixteen, you're beautiful and you're mine You're my baby, you're my pet We fell in love on the night we met You touched my hand, my heart went pop Ooh, when we kissed I could not stop You walked out of my dreams and into my arms Now you're my angel divine You're sixteen, you're beautiful and you're mine You're my baby, you're my pet We fell in love on the night we met You touched my hand, my heart went pop Ooh, when we kissed I could not stop You walked out of my dreams, and into my car Now you're my angel divine You're sixteen, you're beautiful, and you're mine You're sixteen, you're beautiful, and you're mine You're sixteen, so beautiful, and you're mine All mine, all mine, all mine All mine, all mine, all mine@1970
31@31@32@1974@If You Love Me (Let Me Know)@Olivia Newton-John@"I grew to love you more each passing day Before too long I built my world around you And I prayed you'd love enough of me to stay If you love me let me know If you don't then let me go I can't take another minute Of a day without you in it If you love me let it be If you don't then set me free Take the chains away That keep me loving you The arms that open wide to hold me closer The hands that run their fingers through my hair The smile that says ""hello, it's good to see you"" Anytime I turn around to find you there It's this and so much more that make me love you What else can I do to make you see You know you have whatever's mine to give you But a love affair for one can never be If you love me let me know If you don't then let me go I can't take another minute Of a day without you in it If you love me let it be If you don't then set me free Take the chains away That keep me loving you Take the chains away That keep me loving you Loving you"@1970
32@32@33@1974@Dark Lady@Cher@"Was brushing her cat in her black limousine On the back seat were scratches from The marks of men her fortune she had won Couldn't see through the tinted glass She said: ""Home James"" and he hit the gas I followed her to some darkened room She took my money, she said: ""I'll be with you soon"" Dark lady laughed and danced And lit the candles one by one Danced to her gypsy music 'Till her brew was done Dark lady played black magic 'Till the clock struck on the twelve She told me more about me Than I knew myself She dealt two cards A queen and a three And mumbled some words That were so strange to me And then she turned up A two-eyed jack My eyes saw red But the card still stayed black She said: ""The man you love is secretly true To someone else who is very close to you My advice is that you leave this place Never come back and forget you ever saw my face"" Dark lady laughed and danced And lit the candles one by one Danced to her gypsy music 'Till her brew was done Dark lady played black magic 'Till the clock struck on the twelve She told me more about me Than I knew myself So I ran home and crawled in my bed I couldn't sleep because of all the things she said Then I remembered her strange perfume And how I smelled it once in my own room So I sneaked back and caught her with my man Laughing and kissing 'till they saw the gun in my hand The next thing I knew they were dead on the floor Dark lady would never turn a card up anymore Dark lady laughed and danced And lit the candles one by one Danced to her gypsy music 'Till her brew was done Dark lady played black magic 'Till the clock struck on the twelve She told me more about me Than I knew myself"@1970
